발명의명칭,출원인,출원일자,심사진행상태
마이크로 LED 및 이를 포함하는 디스플레이 장치(MICRO LED AND DISPLAY DEVICE COMPRISING THE SAME),주식회사 엘지화학(서울특별시 영등포구...),2018.01.25,등록결정(재심사후)
슬라이드 방식의 LED 패키지 장착 구조를 갖는 백 라이트 유닛(BACK LIGHT UNIT HAVING SLIDING MOUNT STRUCTURE FOR LED PACKAGE),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.02.17,거절결정(일반)
LED 표시장치(Light emitting diode(LED) display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.27,
LED 디스플레이 장치 및 그것의 제조 방법(LED DISPLAY APPARATUS AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2012.02.13,거절결정(일반)
LED 백 라이트 시스템(LED BACK LIGHT SYSTEM),엘지디스플레이 주식회사(서울특별시 영등포구...),2007.04.20,등록결정(심사전치후)
양자점 및 이를 이용한 LED 패키지(QUANTUM DOT AND LED PAKAGE USING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.10.25,거절결정(재심사)
LED 조명기구 및 그 제조방법(LED Lighting Device and Method of manufacturing thereof),엘지전자 주식회사(서울특별시 영등포구...),2010.06.23,등록결정(일반)
LED 프로젝터 및 이미지 영역 이동 방법(LED projector and method of moving image area),엘지전자 주식회사(서울특별시 영등포구...),2009.12.23,거절결정(일반)
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.09.26,
마이크로LED 표시장치 및 그 구동방법(MICRO LED DISPLAY DEVICE AND METHOD OF DRIVING THEREOF),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.27,
LED 표시장치 및 이의 제조방법(LED DISPLAY APPARATUS AND MANUFACTURING METHOD OF THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.26,
LED 전압 구동 회로(LED voltage driver circuit),엘지이노텍 주식회사(서울특별시 강서구...),2015.12.28,등록결정(일반)
LED 조명용 전원 장치 및 그의 저전압 보호 방법(POWER APPARATUS FOR LED LIGHTING AND UNDER VOLTAGE PROTECTION METHOD OF THE SAME),엘지이노텍 주식회사(서울특별시 강서구...),2016.01.05,등록결정(일반)
분산 전원 구조를 구비한 LED 디스플레이 유닛(LED display unit with a distributed power architecture),엘지이노텍 주식회사(서울특별시 강서구...),2016.03.28,
LED 표시장치 및 LED소자 제조방법(Light emitting diode(LED) display device and method for manufacturing LED),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.24,
LED 디스플레이 패널 및 이를 이용한 디스플레이 장치(LED DISPLAY PANEL AND DISPLAY DEVICE USING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2022.10.07,
LED 어레이 및 이를 포함하는 액정표시장치모듈(LED ARRAY AND LCD MODULE INCLUDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.12.15,등록결정(일반)
LED 이송 장치(LED TRANSFERING APPARATUS),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.24,
LED 램프 유닛(LED LAMP UNIT),엘지디스플레이 주식회사(서울특별시 영등포구...),2004.04.29,등록결정(일반)
"마이크로 LED 전사 방법, 이를 이용한 마이크로 LED 표시 패널 제조 방법 및 마이크로 LED 표시 패널(METHOD OF TRANSFERRING MICRO LED, METHOD OF MANUFACTURING MICRO LED DISPLAY PANEL USING THE SAME AND MICRO LED DISPLAY PANEL)",엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.27,등록결정(일반)
LED 전원 장치.(POWER DEVICE FOR LED LIGHTING),엘지이노텍 주식회사(서울특별시 강서구...),2012.03.13,등록결정(일반)
LED 디스플레이 패널 및 이를 이용한 디스플레이 장치(LED DISPLAY PANEL AND DISPLAY DEVICE USING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.06.29,등록결정(일반)
마이크로 LED를 이용한 디스플레이 장치 및 이를 이용한 모듈형 디스플레이 장치(DISPLAY DEVICE USING MICRO LED AND MODULE-TYPE DISPLAY DEVICE USING SAME),엘지전자 주식회사(서울특별시 영등포구...),2020.07.29,
UV LED 조사모듈을 가지는 팬하우징이 있는 공기조화기(AIR CONDITIONER INCLUDING FAN HAVING UV LED IRRADIATING MODULE),엘지전자 주식회사(서울특별시 영등포구...),2022.01.07,
베젤리스 마이크로LED 표시장치(MICRO LED DISPLAY DEVICE WHITOUT BEZZEL),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.08,
UV LED 및 도광막대를 갖는 정수기(WATER PURIFIER HAVING UV LED AND LIGHT GUIDE STICK),엘지이노텍 주식회사(서울특별시 강서구...),2010.10.11,등록결정(재심사후)
베젤리스 마이크로LED 표시장치(MICRO LED DISPLAY DEVICE WHITOUT BEZEL),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.08,
마이크로-LED 표시장치 및 그 제조방법(Micro-LED display device and method of fabricating the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.08.30,등록결정(일반)
