발명의명칭,출원인,출원일자,심사진행상태
연결된 ROM-RAM 테이블에 기초하여 산술 코딩을 수행하는 방법 및 장치(METHOD AND APPARATUS FOR PERFORMING ARITHMETIC CODING ON BASIS OF CONCATENATED ROM-RAM TABLE),엘지전자 주식회사(서울특별시 영등포구...),2015.06.29,등록결정(일반)
RAM 압출식 가교 파이프용 폴리에틸렌 수지 조성물 및 이로부터 제조된 파이프 내벽의 기포수가 저감된 가교 폴리에틸렌 파이프(Polyethylene Resin Composition For Preparing Cross-linked Pipe By RAM Extruder type And Cross-linked Polyethylene Pipe Produced From The Same For Reducing Bubble In Pipe Inner Wall),주식회사 엘지화학(서울특별시 영등포구...),2009.03.09,등록결정(일반)
DVD-RAM에서의 틸트 서보 방법(Method for tilt servo in DVD-RAM),엘지전자 주식회사(서울특별시 영등포구...),2003.01.21,취하(심사미청구)
디램(DRAM)액세스제어장치(D-RAM ACCESS DEVICE),주식회사 엘지이아이(서울특별시 영등포구...),1991.12.24,등록결정(일반)
듀얼포트램을 이용한 상이위상 클럭간 데이터 전송 장치(Apparatus for data transmission between differentclock using dual-port RAM),엘지전자 주식회사(서울특별시 영등포구...),2001.12.24,등록결정(일반)
프로세서보드의 램 디바이스 동기화 장치(Apparatus for synchronizing RAM devices in processorboard),주식회사 엘지이아이(서울특별시 영등포구...),2001.10.30,설정등록의뢰
SRAM을이용한ROM시뮬레이터(ROM SIMULATOR USING SRAM),주식회사 엘지이아이(서울특별시 영등포구...),1991.06.26,등록결정(일반)
듀얼포트램을 이용한 데이터 타이밍 및 포맷 변환 장치(Apparatus for conversion of data timing and formatusing dual-port RAM),엘지전자 주식회사(서울특별시 영등포구...),2001.12.24,거절결정(일반)
듀얼포트램 억세스회로의 억세스 충돌방지회로(ACCESS COLLISION PREVENTION CIRCUIT OF DUAL PORT RAM ACCESS CIRCUIT),엘지정보통신주식회사(서울특별시 강남구...),1997.10.09,등록결정(일반)
오퍼레이팅 시스템을 내장한 램 디스크 구조 및 이를이용한 시스템(Ram disc structure with an operating system and drivingequipment using the same),주식회사 히타치엘지 데이터 스토리지 코리아(서울특별시 금천구...),2006.10.30,취하(심사미청구)
감시용 디지털 비디오 레코더에서의 램디스크를 이용한알람 녹화방법(Method for recording alarm using ram disk in digitalvideo recorder for monitoring),엘지전자 주식회사(서울특별시 영등포구...),2006.01.23,등록결정(일반)
DPRAM의 송수신 버퍼 크기 관리방법(A Method For Controlling TX and RX Buffer Size Of DPRAM),엘지전자 주식회사(서울특별시 영등포구...),2005.11.23,거절결정(일반)
디피램 제어 방법(Dual port RAM control method),에릭슨 엘지 주식회사(서울특별시 강남구...),2005.09.06,등록결정(일반)
SDRAM을 이용한 캐시 버퍼 장치(APPARATUS FOR CASH BUFFER USING SDRAM),엘지전자 주식회사(서울특별시 영등포구...),2005.02.03,취하(심사미청구)
램테스팅 장치(RAM testing equipment),엘지전자 주식회사(서울특별시 영등포구...),2001.08.31,등록결정(일반)
듀얼포트 램을 이용한 데이터버스 공유회로(A COMMON CIRCUIT OF DATA BUS BY USING DUAL PORT RAM),엘지전자 주식회사(서울특별시 영등포구...),2001.07.20,등록결정(일반)
듀얼포트 램의 제어회로(CONTROLLING CIRCUIT OF DUAL PORT RAM),엘지전자 주식회사(서울특별시 영등포구...),2000.10.14,등록결정(일반)
