발명의명칭,출원인,출원일자,심사진행상태
"고온용 기판을 이용한 박막트랜지스터 제조방법과 이를 이용한 표시장치의 제조방법{production method of Thin Film Transistor using high-temperature substrate and, production method of display device using the Thin Film Transistor}(Thin Film Transistor using high-temperature substrateand production method of the same, and productionmethod of display device using the Thin Film Transistor)",엘지전자 주식회사(서울특별시 영등포구...),2001.06.15,등록결정(심사전치후)
전계 효과 트랜지스터 제어 장치 및 방법(Apparatus and method for controlling field effect transistor),주식회사 엘지화학(서울특별시 영등포구...),2015.01.21,등록결정(일반)
트랜지스터 및 전자장치(TRANSISTOR AND ELECTRONIC DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.12.18,
박막 트랜지스터 기판(Thin Film Transistor Substrate),엘지디스플레이 주식회사(서울특별시 영등포구...),2021.11.04,등록결정(일반)
다수의 타입들의 박막 트랜지스터들을 갖는 디스플레이 백플레인(DISPLAY BACKPLANE HAVING MULTIPLE TYPES OF THIN-FILM-TRANSISTORS),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.15,
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2022.02.15,등록결정(일반)
환원된 그래핀 옥사이드의 제조 방법 및 이를 통해 제조된 환원된 그래핀 옥사이드를 포함하는 박막 트랜지스터(METHOD FOR MANUFACTURING REDUCED GRAPHENE OXIDE AND THIN TRANSISTOR COMPRISNG REDUCED GRAPHENE OXIDE MANUFACTURED BY THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...)|서울대학교산학협력단(서울특별시 관악구...),2017.12.28,등록결정(일반)
"박막 트랜지스터, 그의 제조 방법, 및 그를 포함한 표시장치(THIN FILM TRANSISTOR, METHOD FOR MANUFACTURING THE SAME, AND DISPLAY DEVICE INCLUDING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2016.08.23,등록결정(일반)
박막트랜지스터 및 이를 갖는 박막트랜지스터 기판(THIN FILM TRANSISTOR AND THIN FILM TRANSISTOR SUBSTRATE HAVING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.31,
박막트랜지스터 기판(THIN FILM TRANSISTOR SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.14,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.10.07,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
다수의 타입들의 박막 트랜지스터들을 갖는 디스플레이 백플레인(DISPLAY BACKPLANE HAVING MULTIPLE TYPES OF THIN-FILM-TRANSISTORS),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.09,
박막 트랜지스터 기판(THIN FILM TRANSISTOR SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.30,
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.10.07,등록결정(일반)
표시장치용 박막 트랜지스터 기판 및 그 제조 방법(THIN FILM TRANSISTOR SUBSTRATE FOR DISPLAY DEVICE AND METHOD OF MANUFACTURING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.06.26,등록결정(재심사후)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.10.07,등록결정(일반)
박막 트랜지스터 기판 및 이를 포함하는 표시 장치(THIN FILM TRANSISTOR SUBSTRATE AND DISPLAY DEVICE INCLUDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2016.09.13,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(재심사후)
박막 트랜지스터 기판의 제조방법(Method for manufacturing thin film transistor substrate),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.12.20,등록결정(재심사후)
박막트랜지스터 및 이를 구비한 액정표시장치용 어레이 기판(Thin film transistor and array substrate for liquid crystal display device including the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.12.08,등록결정(일반)
박막트랜지스터 기판 및 그 제조 방법(THIN FILM TRANSISTOR SUBSTRATE AND METHOD OF FABRICATING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.12.08,등록결정(재심사후)
금속 산화물 반도체를 포함하는 박막 트랜지스터 기판 및 그 제조 방법(Thin Film Transistor Substrate Having Metal Oxide Semiconductor and Manufacturing Method Thereof),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.12.02,등록결정(일반)
박막 트랜지스터 기판과 그 제조방법(THIN FILM TRANSISTOR SUBSTRATE AND METHOD OF MANUFACTURING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.11.09,거절결정(일반)
박막 트랜지스터 기판(THIN FILM TRANSISTOR SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
박막 트랜지스터 어레이 기판 및 이의 제조 방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND METHOD OF FABRICATING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.12.20,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.10.07,등록결정(일반)
금속 산화물 반도체를 포함하는 박막 트랜지스터 기판 및 그 제조 방법(Thin Film Transistor Substrate Having Metal Oxide Semiconductor and Manufacturing Method Thereof),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.12.21,등록결정(재심사후)
엑스레이 검출기용 박막트랜지스터 어레이기판 및 이의 제조방법(Thin film transistor array substrate for X-Ray Detector and Method for manufacturing the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2009.12.11,등록결정(취소환송후)
평판 표시장치용 박막 트랜지스터 기판 및 그 제조 방법(Thin Film Transistor Panel For Flat Panel Display Device And Method For Manufacturing The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.12.21,등록결정(재심사후)
산화물 반도체층을 갖는 박막트랜지스터 및 이를 구비한 어레이 기판(Thin Film transistor having the oxide-semiconductor layer and the array substrate including the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.12.06,등록결정(일반)
박막 트랜지스터 기판 및 그를 이용한 액정표시장치(Thin film transistor substrate and Liquid Crystal Display Device using the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.12.27,등록결정(일반)
박막 트랜지스터 어레이 기판 및 이의 제조방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND METHOD FOR FABRICATING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.07.05,거절결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
플렉서블 박막 트랜지스터 기판 및 플렉서블 유기 발광 표시 장치(FLEXIBLE THIN FILM TRANSISTOR SUBSTRATE AND FLEXIBLE ORGANIC LIGHT EMITTING DISPLAY DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.10.22,등록결정(일반)
박막 트랜지스터 기판 및 그를 이용한 표시장치(Thin Film Transistor Substrate and Display Device using the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.11.16,등록결정(일반)
박막트랜지스터 기판 및 그 제조 방법(THIN FILM TRANSISTOR SUBSTRATE AND METHOD OF FABRICATING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.12.12,등록결정(일반)
박막 트랜지스터 기판 및 그 제조방법(Thin film Transistor substrate and method for manufacturing the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.11.18,등록결정(재심사후)
박막 트랜지스터 기판 및 그를 이용한 액정표시장치(Thin film transistor substrate and Liquid Crystal Display Device using the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.12.30,등록결정(일반)
박막트랜지스터 어레이 기판의 제조방법(MANUFACTURING METHOD OF THIN FILM TRANSISTOR ARRAY SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.12.27,등록결정(일반)
박막 트랜지스터 기판의 제조 방법(METHOD OF FABRICATING THE THIN FILM TRANSISTOR SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.10.23,등록결정(일반)
산화물 박막 트랜지스터의 제조방법(METHOD OF FABRICATING OXIDE THIN FILM TRANSISTOR),엘지디스플레이 주식회사(서울특별시 영등포구...),2009.05.26,등록결정(일반)
"박막트랜지스터 어레이 기판 및 그의 제조방법과 이를 포함하는 유기발광표시장치(Thin film transistor array substrate, method of manufacturing the same and organic light emitting display device comprising the same)",엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.28,등록결정(일반)
"액티브층, 이를 포함하는 박막트랜지스터 어레이 기판 및 표시장치(Active Layer, Array Substrate for Thin Film Transistor And Display Device Of The Same)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.31,등록결정(일반)
수직 구조 트랜지스터 및 전자장치(VERTICAL STRUCTURE TRANSISTOR AND ELECTRONIC DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.11.20,
"액티브층, 이를 포함하는 박막트랜지스터 어레이 기판 및 표시장치(Active Layer, Array Substrate for Thin Film Transistor And Display Device Of The Same)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.28,등록결정(일반)
박막 트랜지스터 및 이를 이용한 표시패널(THIN FILM TRANSISTOR AND DISPLAY PANEL USING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.12.30,
반투과형 박막 트랜지스터 기판 및 그 제조 방법(Thin Film Transistor Substrate of Transflective TypeAnd Method for Fabricating The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2004.12.06,등록결정(일반)
"박막트랜지스터 및 그 제조방법, 박막트랜지스터를 포함하는 표시장치(THIN FILM TRANSISTOR AND MEHTOD OF FABRICATING THEREOF, DISPLAY DEVICE HAVING THIN FILM TRANSISTOR)",엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.30,
수직 구조 트랜지스터 및 전자장치(VERTICAL STRUCTURE TRANSISTOR AND ELECTRONIC DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.11.16,
"박막 트랜지스터, 박막 트랜지스터 제조 방법 및 박막 트랜지스터를 포함하는 표시 장치(THIN FILM TRANSISTOR, METHOD FOR MANUFACTURING THE SAME AND DISPLAY DEVICE COMPRISING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2013.08.05,등록결정(일반)
복합형 박막 트랜지스터를 갖는 유기 전계 발광 표시 장치(ORGANIC EMITTING DISPLAY DEVICE HAVING MULTI-TYPE THIN FILM TRANSISTOR),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.07.04,등록결정(일반)
트랜지스터 및 전자장치(TRANSISTOR AND ELECTRONIC DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2018.12.18,
박막 트랜지스터 및 그 제조 방법(Thin Film Transistor and the fabrication method thereof),엘지디스플레이 주식회사(서울특별시 영등포구...),2005.05.31,등록결정(일반)
폴리 실리콘 박막 트랜지스터 제조방법(method for thin film transistor using poly silicon),엘지디스플레이 주식회사(서울특별시 영등포구...),2002.10.31,등록결정(일반)
산화물 박막 트랜지스터 어레이 기판 및 이의 제조 방법(Oxide Thin Film Transistor Array Board And Method Manufacturing Of The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.07.23,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.08.27,등록결정(일반)
박막 트랜지스터 기판을 포함하는 표시장치(DISPLAY DEVICE INCLUDING THIN FILM TRANSISTOR SUBSTRATE),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
