발명의명칭,출원인,출원일자,심사진행상태
"LED 검사 장치 및 그 방법(APPARATUS FOR TESTING LED, AND ITS METHOD)",삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.06.04,등록결정(일반)
LED 패키지 모듈(LED PACKAGE MODULE),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.10.15,등록결정(일반)
LED 패키지(LED package),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.09.04,등록결정(일반)
LED 패키지의 제조 방법(Manufacturing method of LED package),삼성엘이디 주식회사(경기도 용인시 기흥구...),2011.01.28,등록결정(일반)
LED 패키지 및 그 제조방법(LED package and method of manufacturing the same),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.05.29,등록결정(심사전치후)
백색 LED를 이용한 면광원 및 이를 구비한 LCD백라이트 유닛(Plane light source using white LED and LCD backlight unit comprising the same),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.03.11,등록결정(일반)
LED 패키지(LED package),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.10.27,등록결정(일반)
LED 패키지 및 그 LED 패키지를 포함하는 백라이트 유닛(LED PACKAGE AND BACKLIGHT UNIT HAVING THE SAME),삼성엘이디 주식회사(경기도 용인시 기흥구...),2009.07.03,등록결정(일반)
LED 패키지의 제조 방법(Manufacturing method of LED package),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.11.28,거절결정(일반)
LED 조명장치(LED Illumination Device),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.03.06,등록결정(일반)
LED 구동회로 및 LED 어레이 장치(LED DRIVING CIRCUIT AND LIGHT EMTTING DIODE ARRAY DEVICE),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.06.30,등록결정(일반)
LED를 이용한 헤드 램프 모듈 및 이를 포함한 헤드 램프장치(Head lamp module using LED and head lamp apparatus having the same),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.03.14,등록결정(일반)
발광장치 및 이를 이용한 LED 구동방법(Light Emitting Apparatus and LED Driving Method using the same),삼성엘이디 주식회사(경기도 용인시 기흥구...),2011.10.18,등록결정(일반)
