발명의명칭,출원인,출원일자,심사진행상태
DVD-RAM에서 고속의 데이타기록방법(DATA RECORDING METHOD IN DVD-RAM),삼성전자주식회사(경기도 수원시 영통구...),1997.01.29,등록결정(일반)
외부장치의 동작 마진을 향상시키고 DVD-RAM과DVD-R/RW에 겸용으로 사용되는 디지털 변조장치및 방법(Digital modulation apparatus and method used forDVD-RAM and DVD-R/RW and for increasing operatingmargin of external device),삼성전자주식회사(경기도 수원시 영통구...),2001.07.16,등록결정(일반)
램(RAM)이 적응적으로 사용되는 방전 디스플레이 패널의구동 장치(Apparatus for driving discharge display panel wherein RAM is adaptively used),삼성에스디아이 주식회사(경기도 용인시 기흥구...),2007.03.05,등록결정(일반)
아이·디(ID)데이타 검출시 에러감소를 위한 DVD-RAM디스크 재생장치(DVD-RAM DISK PLAYER FOR REDUCING ERROR IN ID DATA DETECTION),삼성전자주식회사(경기도 수원시 영통구...),1998.03.21,등록결정(일반)
DVD-RAM드라이브의기록제어방법(Recording and controlling method of a DVD-RAM drive),삼성전자주식회사(경기도 수원시 영통구...),1997.12.30,등록결정(일반)
DVD-RAM의 PID 검출방법 및 그 장치(METHOD AND APPARATUS FOR DETECTING A PID OF A DVD-RAM BY GENERATING POSITION INFORMATION FOR THE DATA),삼성전자주식회사(경기도 수원시 영통구...),1997.08.09,거절결정(일반)
실행 시간을 갖지 않는 RAM 셀 및 이를 이용한 인터페이스 집적회로(RAM CELL AND INTERFACE CIRCUIT USING THAT),삼성전자주식회사(경기도 수원시 영통구...),1997.03.25,등록결정(일반)
DVD-RAM시스템의 버퍼메모리구조(STRUCTURE OF BUFFER MEMORY IN DVD-RAM SYSTEM),삼성전자주식회사(경기도 수원시 영통구...),1997.02.25,등록결정(일반)
DVD-RAM에서의 데이타기록방법(DATA RECORDING METHOD IN DVD-RAM),삼성전자주식회사(경기도 수원시 영통구...),1997.02.13,등록결정(일반)
다이나믹RAM의리플레쉬회로(REFRESH CIRCUIT FOR DYNAMIC RAM),삼성전자주식회사(경기도 수원시 영통구...),1984.12.29,등록결정(일반)
MRAM과 그 제조 및 구동방법(Magnetic RAM and methods for manufacturing and drivingthe same),삼성전자주식회사(경기도 수원시 영통구...),2002.11.07,등록결정(일반)
단위 셀이 한 개의 트랜지스터와 두 개의 MTJ로 구성된MRAM 및 그 제조방법(Magnetic RAM comprising unit cell having onetransistor and two Magnetic Tunneling Junctions andmethod for manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...),2003.01.18,등록결정(일반)
