심사진행상태,출원일자,발명의명칭,출원인,,,,,,,,,,,,,,,,,
거절결정(일반),1997.12.15,"자동차 주행거리별 점검항목 표시장치 및 그 제어방법(APPARATUS FOR DISPLAYING CHECKING ITEMS ACCORDING TO TRAVELING DISTANCE OF A VEHICLE AND A METHOD OF CONTROLLING THE SAME, ESPECIALLY BY DISPLAYING TOTAL TRAVELING DISTANCE OF THE VEHICLE AND OUTPUTTING TOTAL TRAVELING DISTANCE DATA THROUGH A TRAVELING DISTANCE MEASURING PART)",에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.04.22,액정표시소자의 색상조정회로(HUE CONTROL CIRCUIT OF LIQUID CRYSTAL DISPLAY),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.12.08,액정 표시 소자(LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),2013.12.24,오프셋 전압을 제거하는 디스플레이 구동 장치(Display driving device removing offset voltage),에스케이하이닉스 주식회사(경기도 이천시...)|한양대학교 산학협력단(서울특별시 성동구...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.08.24,고개구율 및 고투과율을 갖는 액정표시장치 및 그 제조방법(LIQUID CRYSTAL DISPLAY HAVING HIGH OPENING RATE AND TRANSMITTING RATE AND FABRICATING METHOD OF THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1996.05.22,플라즈마 디스플레이 패널 및 그의 제조방법(Plasma display panel and manufacturing method thereof),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1996.11.29,액정 표시 소자 및 그 제조방법(LIQUID CRYSTAL DISPLAY ELEMENT AND ITS MANUFACTURING METHOD),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.06.25,액정표시소자(LIQUID CRYSTAL DISPLAY),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.05.29,액정표시장치(LIQUID CRYSTAL DISPLAY),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),2001.01.06,액정 표시 장치의 구동 회로(Driving circuit of Liquid Crystal Display),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.06.30,액정 표시 소자(LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.29,반사형 액정 표시 장치(REFLECTIVE LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1996.11.29,액정 표시 소자 및 그 제조방법(LIQUID CRYSTAL DISPLAY ELEMENT AND ITS MANUFACTURING METHOD),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.12.17,색띰방지용액정표시장치(LIQUID CRYSTAL DISPLAY FOR PREVENTING COLOR SHIFT),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.04.18,액정 표시 장치(LCD DISPLAY APPARATUS),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.05.29,다중 도메인을 갖는 수직 배향 모드의 액정 표시 장치(LIQUID CRYSTAL DISPLAY WITH VERTICAL ALIGNMENT MODE HAVING MULTIPLE DOMAINS),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1995.05.17,엘씨디전원순차제어장치(THE POWER SUPPLY SEQUENCE CONTROL SYSTEM OF LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.12.24,플라즈마디스플레이패널및그의형성방법(PLASMA DISPLAY PANEL AND MANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1996.05.22,플라즈마 디스플레이 패널 및 그의 제조방법(Plasma display panel and manufacturing method thereof),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.06.25,플라즈마디스플레이패널(PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.08.30,플라즈마 디스플레이 패널 및 그의 제조방법(PLASMA DISPLAY PANEL AND MANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.17,수직 배향 모드 액정 표시 장치(VERTICAL ALIGNMENT MODE LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
취하(심사미청구),1997.12.26,직류형 플라즈마 디스플레이 패널의 화상 개선구조(STRUCTURE FOR IMPROVING AN IMAGE OF A DIRECT CURRENT-TYPE PLASMA DISPLAY PANEL BY VERTICALLY POSITIONING A MAIN DISCHARGING CELL AND AN AUXILIARY DISCHARGING CELL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.12.29,액정 표시 장치(LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1997.08.19,디지타이징 패널을 디스플레이 장치와 정렬시키기 위한 방법및 장치(METHOD AND APPARATUS FOR ALIGNING A DIGITIZING PANEL WITH A DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)|하이닉스 세미컨덕터 아메리카 인코포레이티드(미국 캘리포니아 ***** 산호세 노쓰 퍼스트 스트리트 ****),,,,,,,,,,,,,,,,,
등록결정(일반),2002.07.24,패널의 문턱 전압을 보상하는 평판 디스플레이 패널 장치(FLAT PANEL DISPLAY DEVICE FOR COMPENSATING THRESHOLDVOLTAGE OF PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.05.29,아이피에스모드의액정표시장치(IPS MODE LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(심사전치후),1997.06.27,액정표시소자(LIQUID CRYSTAL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1996.10.16,액정 표시 소자 및 그 제조방법(LIQUID CRYSTAL DISPLAY ELEMENT AND ITS MANUFACTURING METHOD),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.05.29,다중도메인을갖는아이피에스-브이에이모드액정표시장치(IPS-VA MODE LIQUID CRYSTAL DISPLAY HAVING MULTI DOMAIN),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1998.05.29,액정 표시 장치 및 그 제조 방법(LIQUID CRYSTAL DISPLAY AND METHOD FOR FABRICATING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1993.05.07,액정표시소자제조방법(MAKING METHOD OF LIQUID CRYSTAL DISPLAY ELEMENT),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
설정등록의뢰,2001.05.17,차광 수단용 블랙 실크층이 구비된 액정표시장치(LIQUID CRYSTAL DISPLAY HAVING BLACK SILK LAYER FORLIGHT SHIELDING MEANS),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
설정등록의뢰,2001.03.02,액정표시장치용 패널(Panel for liquid crystal display device),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.30,플라즈마 디스플레이 패널용 접속선 로딩장치(APPARATUS FOR LOADING A FLEXIBLE PRINTED CIRCUIT TO BE BONDED TO A PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.30,패널의 자동회전이 가능한 플라즈마 디스플레이 패널용 접속선 본딩장치(APPARATUS FOR BONDING FLEXIBLE PRINTED CIRCUIT TO PLASMA DISPLAY PANEL CAPABLE OF AUTOMATICALLY ROTATING THE PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.30,플라즈마 디스플레이 패널용 접속선 본딩장치(APPARATUS FOR BONDING A FLEXIBLE PRINTED CIRCUIT TO PLASMA DISPLAY PANEL),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),2000.12.14,평판표시소자의 소오스 드라이버(SOURCE DRIVER IN FLAT PANEL DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
거절결정(일반),2011.01.25,디스플레이 장치 및 그 제어 방법(DISPLAY DEVICE AND CONTROL METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1996.10.17,차량 주행시 이상상태 자동표시 및 음성경보장치(ABNORMAL CONDITION AUTOMATIC DISPLAY AND VOICE WARNING DEVICE AS CAR DRIVING),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1995.12.18,컴팩트디스크시스템에서의디스크위치표시장치(DISK POSITION DISPLAY DEVICE IN THE COMPACT DISK SYSTEM),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1994.06.30,액정디스플레이의핀결합구조(PIN COMBINATION STRUCTURE OF LIQUID CRYSTAL DISPLAY),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),2000.12.30,액정표시소자(Liquid Crystal Display),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
취하(심사미청구),2000.11.22,액정 표시소자 및 그 제조 방법(Liquid crystal display device and method ofmanufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.12.30,디스플레이 장치의 수평 동기 신호의 극성 검출 회로(Circuit for detecting polarity of horizontalsynchronous signal for display),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.12.28,엘씨디 구동 회로(DRIVING CIRCUIT FOR LIQUID CRYSTAL DISPLAY),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.12.28,디스플레이 장치의 데이터 처리 방법(DATA PROCESSING METHOD FOR DISPLAY APPARATUS),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.12.27,평판 표시 장치의 구조 및 제조방법(STRUCTURE AND MANUFACTURING METHOD FOR DISPLAY PANELAPPARATUS),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.09.10,면방전형 플라즈마 디스플레이 패널 구동 방법(Driving method of plasma display panel in surfacedischarge type),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.08.20,빗을 이용한 플라즈마 디스플레이 패널의 격벽 형성 방법(METHOD FOR FORMING BARRIER RIB OF PLASMA DISPLAY PANEL BYUSING COMB),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.30,플라즈마 디스플레이 패널(Plasma Display Panel),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
거절결정(일반),1999.06.28,플라즈마 디스플레이 패널의 격벽 및 그 형성 방법(BARRIER RIB OF PLASMA DISPLAY PANEL AND METHOD FOR FORMINGTHE SAME),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.30,양면 플라즈마 디스플레이 장치(PLASMA DISPLAY DEVICE HAVING TWO DISPLAY SIDES),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.30,플라즈마디스플레이 패널의 제조방법(Method for forming of Plasma Display Panel),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
등록결정(일반),1999.06.28,전기 도금법을 이용한 플라즈마 디스플레이 패널의 전극 및 격벽의 동시 형성 방법(METHOD FOR SIMULTANEOUS FORMING ELECTRODE AND BARRIER RIBOF PLASMA DISPLAY PANEL BY ELECTROPLATING),에스케이하이닉스 주식회사(경기도 이천시...),,,,,,,,,,,,,,,,,
