발명의명칭,출원인,출원일자,심사진행상태
LED 패키지 및 이를 포함하는 RFID 시스템(LED package and RFID system including the same),에스케이하이닉스 주식회사(경기도 이천시...),2009.12.23,등록결정(일반)
LED 패키지 및 이를 포함하는 RFID 시스템(LED package and RFID system including the same),에스케이하이닉스 주식회사(경기도 이천시...),2009.12.23,등록결정(일반)
마이크로프로세서제어LED표시장치(MICROPROCESSOR CONTROL LED DISPLAY DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),1990.05.31,등록결정(일반)
무전기의수신감도향상을위한LED디스플레이구동회로(CIRCUIT FOR DRIVING LED DISPLAY FOR IMPROVING SENSITIVITY OF RADIO TRANSCEIVER),에스케이하이닉스 주식회사(경기도 이천시...),1989.11.30,등록결정(일반)
"키폰전화기의 이중모드 LED 운용장치 및 그 제어방법(APPARATUS FOR OPERATING A DUAL MODE LED(LIGHT EMITTING DIODE) IN KEY PHONE AND METHOD FOR CONTROLLING THE SAME, ESPECIALLY FOR DISTINGUISHING LINE NUMBER FROM EXTENSION NUMBER BY DUAL MODE LED)",에스케이하이닉스 주식회사(경기도 이천시...),1997.10.14,취하(심사미청구)
LCD세그먼트신호를이용한LED세그먼트구동장치(OPERATING APPARATUS FOR LED SEGMENT),에스케이하이닉스 주식회사(경기도 이천시...),1991.12.26,등록결정(일반)
휴대용전화기의LED구동에의한밧데리소모억제장치(DEVICE FOR PREVENTING BATTERY DISCHARGE OF MOBILE TELEPHONE),에스케이하이닉스 주식회사(경기도 이천시...),1990.08.14,등록결정(일반)
전기전자기기의LED기판고정장치(),에스케이하이닉스 주식회사(경기도 이천시...),1991.03.30,취하(심사미청구)
LED장치(),에스케이하이닉스 주식회사(경기도 이천시...),1997.12.29,취하(심사미청구)
7-세그먼트구동소자를사용한LED점등회로(),에스케이하이닉스 주식회사(경기도 이천시...),1995.12.29,취하(심사미청구)
다색발광다이오드를이용한다중모드표시회로(MULTI-MODE DISPLAY CIRCUIT FOR A MULTI-LED),에스케이하이닉스 주식회사(경기도 이천시...),1994.08.02,등록결정(일반)
모니터의LED고정장치(),에스케이하이닉스 주식회사(경기도 이천시...),1993.12.21,취하(심사미청구)
전압 모드의 LED 소자(Light Emission Diode in Voltage Mode),에스케이하이닉스 주식회사(경기도 이천시...),2001.06.30,등록결정(일반)
LED 높이조절 장치(DEVICE FOR REGULATING HEIGHT LIGHT EMITTING DIODE),에스케이하이닉스 주식회사(경기도 이천시...),1999.07.30,취하(심사미청구)
엔진상태 표시기를 가지는 시동장치(STARTING APPARATUS HAVING AN ENGINE CONDITION INDICATOR FOR DISPLAYING A CONDITION OF AN ENGINE BY A LIGHT EMITTING DIODE(LED) AND FOR SHOWING A REMAINING AMOUNT OF A BATTERY),에스케이하이닉스 주식회사(경기도 이천시...),1998.02.10,취하(심사미청구)
리모트 콘트롤러의 홀딩 방법(METHOD FOR HOLDING A REMOTE CONTROLLER FOR SAVING A BETTERY OF THE REMOTE CONTROLLER BY CONTROLLING A DRIVING TIME OF AN LED REGARDLESS OF A PRESSED TIME OF A SWITCH IN THE REMOTE CONTROLLER),에스케이하이닉스 주식회사(경기도 이천시...),1997.11.28,취하(심사미청구)
LED렌즈고정장치(),에스케이하이닉스 주식회사(경기도 이천시...),1992.06.30,취하(심사미청구)
모니터의LED고정브라켓트(),에스케이하이닉스 주식회사(경기도 이천시...),1991.03.30,취하(심사미청구)
LED텍트스위치용노브(),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.27,포기(등록결정전 포기서제출)
LED램프고정장치(),에스케이하이닉스 주식회사(경기도 이천시...),1990.11.15,거절결정(일반)
컴퓨터의전원스위치및발광다이오드고정장치(LED FIXING APPARATUS),에스케이하이닉스 주식회사(경기도 이천시...),1990.08.23,등록결정(일반)
발광다이오드 고정장치(HOLDING APPARATUS FOR LED),에스케이하이닉스 주식회사(경기도 이천시...),1999.11.11,취하(심사미청구)
광다이얼전화기의발광다이오드(LED)빛확산구조(),에스케이하이닉스 주식회사(경기도 이천시...),1994.10.29,포기(등록결정전 포기서제출)
적층형 반도체 패키지용 리드프레임의 구조 및 이를 이용한 적층형 반도체 패키지의 제조방법(structure for LEAD in stack type semiconductor-package and method of manufacture in stack type semiconductor-package useto this LEAD),에스케이하이닉스 주식회사(경기도 이천시...),1999.03.22,등록결정(일반)
복합형 리드 프레임(Complex type lead frame),에스케이하이닉스 주식회사(경기도 이천시...),2005.10.31,취하(심사미청구)
리드 프레임 자동 성형장치(APPARATUS FOR AUTO MOLDING LEAD FRAME OF SEMICONDUCTOR),에스케이하이닉스 주식회사(경기도 이천시...),1997.12.30,등록결정(일반)
엘오시타입리드프레임(LOC TYPE LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),1995.06.30,등록결정(일반)
반도체 버틈 리드 패키지 및 그 제조방법_(BOTTOM LEAD PACKAGE OF SEMICONDUCTOR AND MANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...),1998.10.19,거절결정(일반)
반도체 패키지 제조용 리드프레임 및 이를 이용한 스택 패키지(LEAD FRAME USED FABRICATING FOR SEMICONDUCTOR PACKAGE AND STACK PACKAGE USING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2009.03.02,취하(심사미청구)
LOC 형 패키지를 갖는 반도체 장치(A SEMICONDUCTOR DEVICE WITH PACKAGE OF LEAD ON CHIPTYPE),에스케이하이닉스 주식회사(경기도 이천시...),2002.07.08,취하(심사미청구)
멀티-레이어 버텀 리드 패키지(buttom lead package of multi layer),에스케이하이닉스 주식회사(경기도 이천시...),1996.03.06,등록결정(일반)
반도체 패키지용 리드 프레임(Lead frame used to semiconductor package),에스케이하이닉스 주식회사(경기도 이천시...),2008.01.02,등록결정(일반)
리드 프레임(LEAD FRAME),에스케이하이닉스 주식회사(경기도 이천시...),2008.04.03,취하(심사미청구)
리드 온 칩 리드프레임 및 이를 이용한 반도체 소자 패키지(LEAD ON CHIP TYPE LEAD FRAME AND SEMICONDUCTOR PACKAGE USING IT),에스케이하이닉스 주식회사(경기도 이천시...),1996.06.24,등록결정(일반)
