발명의명칭,출원인,출원일자,심사진행상태
마그네틱 램(Magnetic RAM) 셀 및 그의 제조방법(Magnetic RAM cell and method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2001.06.30,등록결정(일반)
엠램(MRAM) 셀의 제조 방법(Method for manufacturing a magnetic RAM cell),에스케이하이닉스 주식회사(경기도 이천시...),2001.12.31,취하(심사미청구)
박막트랜지스터스태틱램(SRAM)셀의기생다이오드특성개선방법(METHOD OF MANUFACTURING A THIN FILM TRANSISTOR STATIC RAM CELL),에스케이하이닉스 주식회사(경기도 이천시...),1992.09.03,등록결정(일반)
트랜지스터를이용한SRAM백-업회로(S-RAM BACK-UP CIRCUIT USING TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...),1992.06.17,등록결정(일반)
상변화 기억 소자 및 그 제조방법(Phase Change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2009.01.30,등록결정(일반)
상변화 기억 소자(Phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...)|서울대학교산학협력단(서울특별시 관악구...),2007.07.20,등록결정(심사전치후)
상변화 기억 소자 및 그의 제조방법(PHASE CHANGE RAM DEVICE AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2008.11.21,등록결정(일반)
원포트램셀구조로이루어진캐시데이터램(CACHE DATA RAM HAVING ONE-PORT RAM CELL),에스케이하이닉스 주식회사(경기도 이천시...),1997.05.09,등록결정(일반)
상변환 기억 소자의 제조방법(Method of manufacturing phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2005.06.10,등록결정(일반)
"듀얼포트램을 이용한 시스템 제어장치 및 방법(APPARATUS AND METHOD FOR CONTROLLING A SYSTEM BY USING A DUAL PORT RAM, ESPECIALLY CAPABLE OF CONTINUOUSLY CONTROLLING A STATUS OF A CPU BY CONNECTING VARIOUS CPUS MOUNTED WITHIN A FAULT TOLERANT SYSTEM USING THE DUAL PORT RAM)",에스케이하이닉스 주식회사(경기도 이천시...),1997.12.27,취하(심사미청구)
디램(DRAM) 셀 형성 방법(Method for forming a DRAM cell),에스케이하이닉스 주식회사(경기도 이천시...),2002.07.18,등록결정(일반)
DDR SDRAM 에서의 라이트 링잉 현상을 마스크하기위한 데이타 패스 제어 장치 및 방법(Data pass control device for masking write ringing inthe DDR SDRAM and the method thereof),에스케이하이닉스 주식회사(경기도 이천시...),2003.06.30,등록결정(일반)
DDR SDRAM에서의 포스트앰블 링잉 현상 방지 방법(A method for masking the postamble ringing in DDR SDRAM),에스케이하이닉스 주식회사(경기도 이천시...),2003.06.30,등록결정(일반)
자기 저항 소자를 이용한 멀티 비트 기록 방법 및 이를이용한 MRAM(METHOD FOR RECORDING MULTI-BIT USING MAGNETIC RELUCTANCE ELEMENT AND MAGNETIC RANDOM ACCESS MEMORY USING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2008.04.23,등록결정(일반)
저항성 램 소자의 제조방법(Method for manufacturing resistance RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2008.12.30,등록결정(일반)
고저항부하형스태틱램셀및그제조방법(HIGH-LOAD TYPE STATIC RAM CELL AND ITS MAKING METHOD),에스케이하이닉스 주식회사(경기도 이천시...),1996.05.13,등록결정(일반)
PSRAM의 로우 액티브 제어회로(Row active control circuit of Pseudo Static RandomAccess Memory),에스케이하이닉스 주식회사(경기도 이천시...),2005.04.13,등록결정(일반)
자기 저항 램(Magnetoresistive RAM),에스케이하이닉스 주식회사(경기도 이천시...),2002.03.22,등록결정(일반)
SRAM 디바이스의 워드라인 콘트롤 회로(Circuit for Controlling Wordline of SRAM device),에스케이하이닉스 주식회사(경기도 이천시...),2000.12.13,등록결정(일반)
DDR SDRAM에서의 링잉 현상 방지 방법(A method for masking the ringing in DDR SDRAM),에스케이하이닉스 주식회사(경기도 이천시...),2003.06.28,등록결정(일반)
임베디드 FeRAM 기반의 RFID를 갖는 집적 회로(INTEGRATED CIRCUIT WITH EMBEDDED FERAM-BASED RFID),에스케이하이닉스 주식회사(경기도 이천시...),2006.08.31,등록결정(심사전치후)
