심사진행상태,출원일자,발명의명칭,출원인
등록결정(일반),2000.12.29,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.28,에스램 소자의 트랜지스터 제조방법(METHOD FOR MANUFACTRUING TRANSISTOR IN SRAM DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(취소환송후),2000.12.29,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.27,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.27,반도체 소자의 필드 트랜지스터 제조 방법(Method of manufacturing a field transistor in asemiconductor memory device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.29,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.29,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.27,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.26,반도체소자의 트랜지스터 제조방법(Manufacturing method for transistor of semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2000.12.28,박막 트랜지스터의 형성방법(method for forming of thin film transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.28,트랜지스터의 제조 방법(Method for manufacturing a transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.23,박막 트랜지스터의 구조 및 제조 방법(structure of a thin film transistor and method formanufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.27,반도체 소자의 트랜지스터 제조방법(METHOD FOR MANUFACTURING TRANSISTOR IN SEMICONDUCTORDEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
