심사진행상태,출원일자,발명의명칭,출원인
등록결정(일반),2004.02.25,반도체 소자에서의 버티컬 트랜지스터 구조 및 그에 따른형성방법(Verticla transistor structure for use in semiconductordevice and method thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.08.07,일회성 산화 알루미늄 스페이서를 이용한 전계 효과트랜지스터를 제조하는 방법(Method of forming field effect transistor usingdisposable aluminum oxide spacers),삼성전자주식회사(경기도 수원시 영통구...)|인터내셔널 비즈니스 머신즈 코오퍼레이션(미국 뉴욕주 ***** 아몬크 뉴 오차드 로드)
,2020.04.02,수직 전계 효과 트랜지스터 장치 및 수직 전계 효과 트랜지스터 장치의 형성 방법(VERTICAL FIELD-EFFECT TRANSISTOR(VFET) DEVICES AND METHODS OF FORMING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.02.10,전계효과 트랜지스터 및 그의 제조방법(Field Effect Transistor and method for manufacturingat the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.02.10,핀 트랜지스터 구조(Fin field effect transistor structure),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(재심사후),2019.03.14,박막 트랜지스터 및 이를 채용한 디스플레이 패널(Thin film transistor and display panel employing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2013.10.23,트랜지스터 및 그 동작 방법(Transistor and method for operating the same),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2013.10.16,쇼트키 배리어 다이오드가 일체화된 고전자 이동도 트랜지스터를 구비하는 반도체 소자 및 그 제조 방법(Semiconductor device including high electron mobility transistor integrated with Schottky barrier diode and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
거절결정(일반),2013.10.16,고전자 이동도 트랜지스터를 포함하는 전자 장치(Electronic Apparatus comprising High electron mobility transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(재심사후),2012.05.18,유기 보호막 조성물로부터 제조되는 유기 보호막을 포함하는 트랜지스터 및 전자소자(TRANSISTOR AND ELECTRONIC DEVICE INCLUDING PASSIVATION LAYER FABRICATED FROM ORGANIC PASSIVATION LAYER COMPOSITION),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.12.29,"트랜지스터와 그 제조방법 및 트랜지스터를 포함하는 전자소자(Transistor, method of manufacturing the same and electronic device comprising transistor)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2011.05.06,고전자이동도 트랜지스터 및 그 제조방법(High electron mobility transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2011.01.19,박막 트랜지스터 표시판 및 그 제조 방법(Thin film transistor array panel),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2004.09.24,박막 트랜지스터 표시판 및 그의 제조 방법(Thin film transistor array panel and method formanufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2005.07.27,박막트랜지스터 기판과 박막트랜지스터 기판의 제조방법(THIN FILM TRANSISTOR SUBSTRATE AND METHOD OF MAKINGTHIN FILM TRANSISTOR SUBSTRATE),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2009.07.03,"유기 반도체 고분자 및 이를 포함하는 트랜지스터(ORGANIC SEMICONDUCTOR POLYMER, AND TRANSISTOR INCLUDING THE SAME)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.12.10,박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE PANEL),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2005.05.13,박막 트랜지스터 및 박막 트랜지스터 표시판의 제조 방법(THIN FILM TRANSISTOR AND MANUFACTURING METHOD THEREOF),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2004.12.27,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(THIN FILM TRANSISTOR ARRAY PANEL AND LIQUID CRYSTAL DISPLAY INCLUDING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
,2018.10.24,2차원 채널 구조체를 포함하는 수직 전계 효과 트랜지스터(VERTICAL FIELD EFFECT TRANSISTOR HAVING TWO-DIMENSIONAL CHANNEL STRUCTURE),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2006.04.18,"ZnO 반도체 박막의 제조방법 및 이를 이용한박막트랜지스터 및 그 제조방법(Fabrication method of ZnO Thin Film and ZnO Transistor,and Thin Film Transistor adopting the same)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.11.25,박막 트랜지스터 표시판 및 그 제조 방법(film transistor array panel and manufacturing Method thereof),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2004.05.13,삼차원 구조의 채널을 구비하는 모스 트랜지스터 및 그제조방법(metal oxide semiconductor(MOS) transistors havingthree dimensional channels and methods of fabricatingthe same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.07.31,산화물 반도체 및 이를 포함하는 박막 트랜지스터(Oxide Semiconductor and Thin Film Transistor comprising the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.07.30,박막 트랜지스터 표시판의 제조 방법(MANUFACTURING METHOD OF THIN FILM TRANSISTOR ARRAY PANEL),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2011.02.25,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND MANUFACTURING METHOD THEREOF),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2003.06.16,박막 트랜지스터 표시판의 제조 방법(MANUFACTURING METHOD OF THIN FILM TRANSISTOR ARRAYPANEL),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.12.20,수직형 채널 트랜지스터를 포함하는 반도체 소자 및 그 제조 방법(SEMICONDUCTOR DEVICES INCLUDING A VERTICAL CHANNEL TRANSISTOR AND METHODS OF FABRICATING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.03.04,핀형 트랜지스터 및 이의 제조 방법(Transistor having the Fin structure and Method ofmanufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(재심사후),2010.01.08,트랜지스터 및 그 제조방법(Transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.07.23,트랜지스터 및 그 제조방법(Transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.03.06,고 전자 이동도 트랜지스터 및 그 제조방법(High Electron Mobility Transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.05.04,산소처리영역을 포함하는 고 전자 이동도 트랜지스터 및 그 제조방법(High Electron Mobility Transistor comprising oxygen processed region and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
